Title,Genres,Year,Cast,Director,Rating,RatingCount,Popularity,Adult,Language,Overview
Slumber Party Massacre II,"Horror ,Comedy",1987,"jenniferrhodes ,kimberlymcarthur ,patricklowe",deborahbrock,5.0,30.0,1.718146,False,en,"Courtney, the sister of a survivor from the 1st movie and the members of her rock band go to a condo for the weekend to play music and have fun with their boyfriends. Courtney's dreams are of her sister, who is in a mental institution, warning her of having sex, and the dreams begin to spill into real life, threatening Courtney and her friends as they begin experiencing an attrition problem."
Slumber Party Massacre III,"Horror ,Comedy",1990,"keelychristian ,brittainfrye ,mariaford",sallymattison,5.4,20.0,1.986075,False,en,"After a hard day of volleyball at the beach, a teen whose parents are away decides to have a slumber party with her girlfriends. Their boyfriends predictably show up to scare them, but a stranger from the beach is also seen lurking around the house. Soon the group begins experiencing an attrition problem."
Sorority House Massacre,Horror,1986,"angelao'neill ,wendymartel ,pamelaross",carolfrank,4.7,22.0,1.8724610000000002,False,en,"A little girl's brother kills the whole family but her (she escapes by hiding in the basement). He is committed, and she grows up with a new family, eventually going to college, where she joins a sorority. Due to a memory block, she doesn't remember that the sorority house was her childhood house. Her brother senses her presence in the house and escapes so he can finish the job he was unable to complete."
Sorority House Massacre II,"Comedy ,Horror ,Thriller",1990,"gailharris ,melissamoore ,peterspellos",jimwynorski,5.0,12.0,0.763373,False,en,"Five college women buy the old Hokstedter place for their new sorority house. They got it cheap because of the bloody incidents from five years before. They decide to stay in it for the night so they can meet the movers in the morning, but begin to get the creeps when the weird neighbor Orville Ketchum starts poking around. Shortly after the women take showers and consult a Ouija board they begin experiencing an attrition problem."
Bamboozled,"Comedy ,Drama",2000,"damonwayans ,savionglover ,tommydavidson",spikelee,6.3,24.0,4.380258,False,en,"TV producer Pierre Delacroix (Damon Wayans) becomes frustrated when network brass reject his sitcom idea. Hoping to get fired, Delacroix pitches the worst idea he can think of: a minstrel show. The network not only airs it, but it incredibly becomes a smash hit. Michael Rapaport co-stars in this searing satire."
Digimon: The Movie,"Fantasy ,Animation ,Science Fiction ,Family",2000,"larajillmiller ,joshuaseth ,bobpapenbrook",mamoruhosoda,6.2,76.0,5.300501000000001,False,en,"The first story focused on Tai and Kari Kamiya four years before their adventure in the Digital World. It shows their first encounter with Digimon and what happened to them (as well as the other children). Tai and Kari wake one morning to find a Digi-Egg that came out of their computer the night before and the egg soon hatches, revealing a Botamon. The Digimon then evolves into Koromon and then Agumon (not the same one that became friends with Tai in the series, and yet, somehow, both Koromon and Kari remember each other), who then goes out and unintentionally destroys a good part of the neighborhood with Kari riding on his back. A second Digi-Egg appears in the sky to reveal an evil digimon, Parrotmon. Agumon then Digivolves to Greymon but isn't strong enough to beat Parrotmon and is knocked out. Tai grabs Kari's whistle and wakes up Greymon, who defeats Parrotmon and disappears with him."
Get Carter,"Action ,Drama ,Thriller ,Crime",2000,"sylvesterstallone ,mirandarichardson ,rachaelleighcook",stephent.kay,4.8,147.0,6.047757,False,en,"Remake of the Michael Caine classic. Jack Carter, a mob enforcer living in Las Vegas, travels back to his hometown of Seattle for his brother's funeral. During this visit, Carter realizes that the death of his brother was not accidental, but a murder. With this knowledge, Carter sets out to kill all those responsible."
Get Carter,"Crime ,Thriller",1971,"michaelcaine ,ianhendry ,brittekland",mikehodges,6.9,122.0,7.505267999999999,False,en,"Michael Caine is Jack Carter, a small-time hood working in London. When word reaches him of his brothers death, he travels to Newcastle to attend the funeral. Refusing to accept the police report of suicide, Carter seeks out his brother’s friends and acquaintances to learn who murdered his sibling and why. Tough gangster film with grim humour."
Meet the Parents,"Comedy ,Romance",2000,"benstiller ,robertdeniro ,teripolo",jayroach,6.6,1743.0,14.178281,False,en,"Greg Focker is ready to marry his girlfriend, Pam, but before he pops the question, he must win over her formidable father, humorless former CIA agent Jack Byrnes, at the wedding of Pam's sister. As Greg bends over backward to make a good impression, his visit to the Byrnes home turns into a hilarious series of disasters, and everything that can go wrong does, all under Jack's critical, hawklike gaze."
Requiem for a Dream,"Crime ,Drama",2000,"ellenburstyn ,jaredleto ,jenniferconnelly",darrenaronofsky,7.9,2525.0,6.874828,False,en,The hopes and dreams of four ambitious people are shattered when their drug addictions begin spiraling out of control. A look into addiction and how it overcomes the mind and body.
Tigerland,"Drama ,War",2000,"colinfarrell ,matthewdavis ,cliftoncollinsjr",joelschumacher,6.7,155.0,5.8788849999999995,False,en,"A group of recruits go through Advanced Infantry Training at Fort Polk, Louisiana's infamous Tigerland, last stop before Vietnam for tens of thousands of young men in 1971"
Two Family House,"Drama ,Romance",2000,"michaelrispoli ,kellymacdonald ,kathrinenarducci",raymonddefelitta,7.0,5.0,0.265689,False,en,"Buddy Visalo (Michael Rispoli) is a factory worker, a frustrated crooner who once had a shot at the big time. Buddy's dreams of greatness have been reduced to an endless series of failed moneymaking schemes. His latest is buying a two-family house for him and his wife, Estelle (Katherine Narducci) and converting the ground floor into a neighborhood bar where he can perform. The wrench in the works is that he also inherits the upstairs tenants, Mary,a pregnant Irish girl fresh off the boat (Kelly Macdonald) and her abusive, alcoholic husband, Jim (Kevin Conway). As Buddy's gang of Italians tries to handle the situation, the girl goes into labor, and a baby is born, forcing them all to confront the limits of their tolerance and compassion."
The Contender,"Drama ,Thriller",2000,"garyoldman ,joanallen ,jeffbridges",rodlurie,6.7,61.0,15.072042000000001,False,en,"Political thriller about Laine Hanson's nomination and confirmation as Vice President. An allegation that she was involved in a sexual orgy at the age of 19 is leaked to the press. As pressure mounts on Laine, she's torn between fighting back or sticking to her principles and refusing to comment on the allegations."
Dr. T and the Women,"Comedy ,Drama ,Romance",2000,"richardgere ,helenhunt ,livtyler",robertaltman,4.6,70.0,6.7613080000000005,False,en,"Dr. Sullivan Travis is a man at the top of his game, a rich and successful Dallas gynecologist whose ""religion"" is women. Dr. T. worships women. In his immediate family and in his office, they surround him. He is loving and giving to each and every one at all times -- he is their savior. And sure enough, as in the story of Job, one day a higher force decides to test his faith. Once a man in complete control of his universe, Dr. T. now finds himself buffeted by chaos and confusion."
The Ladies Man,Comedy,2000,"timmeadows ,karynparsons ,billydeewilliams",reginaldhudlin,5.7,35.0,3.7554089999999998,False,en,"Because of his salacious language, late-night radio advice-show host Leon Phelps, along with his sweet and loyal producer Julie, is fired from his Chicago gig. Leon gets a letter from a former lover promising a life of wealth, but he doesn't know who she is. Can Leon find his secret sugar-mama? What about Julie?"
Lost Souls,"Horror ,Thriller",2000,"winonaryder ,benchaplin ,sarahwynter",januszkamiński,4.5,38.0,6.604577000000001,False,en,"A small group of Catholics led by an ailing priest believe that Satan intends to become man, just as God did in the person of Jesus. The writings of a possessed mental patient lead them to Peter Kelson, a writer who studies serial killers. They think it's his body Satan will occupy. The youngest in the group, a teacher named Maya Larkin, goes to Peter to investigate further and to convince him to believe in the possibility of Evil incarnate. Other signs come to him as he and Maya them take a journey full of strange occurrences, self-discovery, and an ultimate showdown"
Billy Jack,"Action ,Adventure ,Drama",1971,"tomlaughlin ,delorestaylor ,clarkhowat",tomlaughlin,6.5,18.0,2.157316,False,en,"Ex-Green Beret hapkido expert saves wild horses from being slaughtered for dog food and helps protect a desert ""freedom school"" for runaway."
The Time Machine,"Thriller ,Adventure ,Fantasy ,Science Fiction ,Romance",1960,"rodtaylor ,alanyoung ,yvettemimieux",georgepal,7.5,217.0,12.054356,False,en,A Victorian Englishman travels to the far future and finds that humanity has divided into two hostile species.
Haunted,"Mystery ,Horror",1995,"katebeckinsale ,aidanquinn ,anthonyandrews",lewisgilbert,6.4,43.0,3.2873589999999995,False,en,"Professor David Ash exposes false spiritulists and mediums. He is invited to Edbrook to resolve the fears and torments within its secretive family. Soon after arriving Ash begins to doubt his own senses, and watching the strange behaviour of its residents does not make his task any easier. In time, he finds there's more to Edbrook than even he can debunk."
Ghoulies,"Comedy ,Horror ,Fantasy",1984,"peterliapis ,lisapelikan ,michaeldesbarres",lucabercovici,4.2,58.0,4.734765,False,en,"A young man and his girlfriend move into the man's old mansion home, where he becomes possessed by a need to control ancient demons."
Ghoulies II,"Comedy ,Horror",1987,"damonmartin ,royaldano ,philfondacaro",albertband,4.4,34.0,3.606319,False,en,"Ghoulies II picks up a short time after the first movie, a few of the little nasties stow away on an amusement park ride and bring big bucks to a dying fair. The creatures are mad after an attempt to kill them, so the creatures go on a rampage through the fairgrounds, ultimately leading to an explosive conclusion!"
The Unsinkable Molly Brown,"Comedy ,Music",1964,"debbiereynolds ,harvepresnell ,edbegley",charleswalters,5.7,13.0,5.139716,False,en,"Majestic mountains are in the background and a waterfall in the foreground. Is that a canoe on the river? No it's a cradle with a baby. The buoyant Molly Brown has survived the first crisis of her life -- a flood. Sixteen years later she sets out to make her way in the world. Can she sing and play the piano? She assures the Leadville saloon keeper that she can and learns quickly. Soon she is the bride of Johnny Brown, who in a few years will be able to replace the original cigar wrapper wedding ring with a replica in gold and gemstones. But it takes more than a few million dollars to be accepted by Denver society. The Browns head for Europe and bring a few crowned heads back to Denver for a party that turns into a ballroom brawl. Molly goes to Europe alone, returning on the Titanic. She didn't survive a flood as a baby for the story to end here."
The Adventures of Ichabod and Mr. Toad,"Horror ,Fantasy ,Animation ,Family",1949,"bingcrosby ,basilrathbone ,ericblore",jamesalgar,6.4,91.0,7.554977,False,en,"The Wind in the Willows: Concise version of Kenneth Grahame's story of the same name. J. Thaddeus Toad, owner of Toad Hall, is prone to fads, such as the newfangled motor car. This desire for the very latest lands him in much trouble with the wrong crowd, and it is up to his friends, Mole, Rat and Badger to save him from himself. - The Legend of Sleepy Hollow: Retelling of Washington Irving's story set in a tiny New England town. Ichabod Crane, the new schoolmaster, falls for the town beauty, Katrina Van Tassel, and the town Bully Brom Bones decides that he is a little too successful and needs ""convincing"" that Katrina is not for him."
The Strange Love of Martha Ivers,Drama,1946,"barbarastanwyck ,vanheflin ,lizabethscott",lewismilestone,6.9,24.0,7.8980570000000005,False,en,"A ruthless, domineering woman is married to an alcoholic D.A., her childhood companion who is the only living witness to her murder of her rich aunt seventeen years earlier."
Detour,"Crime ,Drama",1945,"tomneal ,annsavage ,claudiadrake",edgarg.ulmer,7.3,64.0,3.392467,False,en,"Al Roberts, a New York nightclub pianist, hitch-hikes to Hollywood to meet his girlfriend Sue. The gambler he's riding with, Charles, unexpectedly dies. Afraid the police wouldn't believe the truth, Al takes the man's identity. In a gas station, he gives a lift to Vera, a woman that knew Charles and blackmails Al with tragic consequences."
Billy Elliot,"Drama ,Comedy ,Music",2000,"jamiebell ,juliewalters ,jeanheywood",stephendaldry,7.4,774.0,12.158424,False,en,"Set against the background of the 1984 Miner's Strike, Billy Elliot is an 11 year old boy who stumbles out of the boxing ring and onto the ballet floor. He faces many trials and triumphs as he strives to conquer his family's set ways, inner conflict, and standing on his toes!"
Bedazzled,"Fantasy ,Comedy ,Romance",2000,"elizabethhurley ,brendanfraser ,franceso'connor",haroldramis,5.6,526.0,8.781588000000001,False,en,"Elliot Richardson, suicidal techno geek, is given seven wishes to turn his life around when he meets up with a very seductive Satan. The catch: his soul. Some of his wishes include a 7 foot basketball star, a rock star, and a hamburger. But, as could be expected, the Devil must put her own little twist on each his fantasies."
Pay It Forward,"Drama ,Romance",2000,"kevinspacey ,helenhunt ,haleyjoelosment",mimileder,7.0,447.0,10.479723,False,en,"Like some other kids, 12-year-old Trevor McKinney believed in the goodness of human nature. Like many other kids, he was determined to change the world for the better. Unlike most other kids, he succeeded."
The Beyond,Horror,1981,"catrionamaccoll ,davidwarbeck ,cinziamonreale",luciofulci,6.6,121.0,7.471402,False,it,"A young woman inherits an old hotel in Louisiana where after a series of supernatural 'accidents', she learns that the building was built over one of the entrances to Hell."
The Private Eyes,"Comedy ,Crime ,Thriller ,Mystery ,Horror",1980,"donknotts ,timconway ,trishanoble",langelliott,6.9,16.0,1.626485,False,en,"Don Knotts and Tim Conway star in The Private Eyes, a 1980 comedy about two bumbling detectives solving a murder. It's an impressively incompetent affair. Every ancient joke falls with a muffled thud as Knotts and Conway ham their way through the pointless story: The lord and lady of a capacious manor are killed, and the lord's ghost seems to have returned to knock off the staff one by one. There'"
The Legend of Drunken Master,"Action ,Comedy",1994,"jackiechan ,anitamui ,tilung",liuchia-liang,7.2,246.0,8.6807,False,cn,"Returning home with his father after a shopping expedition, Wong Fei-Hong is unwittingly caught up in the battle between foreigners who wish to export ancient Chinese artifacts and loyalists who don't want the pieces to leave the country. Fei-Hong must fight against the foreigners using his Drunken Boxing style, and overcome his father's antagonism as well."
Book of Shadows: Blair Witch 2,"Mystery ,Thriller ,Horror",2000,"kimdirector ,jeffreydonovan ,ericaleerhsen",joeberlinger,4.3,216.0,4.792013,False,en,"Young adults become fascinated by the events of the three missing filmmakers in Maryland, so they decide to go into the same woods and find out what really happened."
Lucky Numbers,"Action ,Adventure ,Comedy ,Crime ,Romance ,Thriller",2000,"johntravolta ,lisakudrow ,timroth",noraephron,4.9,53.0,3.385585,False,en,"Russ Richards is a TV weatherman and local celebrity on the verge of losing his shirt. Desperate to escape financial ruin, he schemes with Crystal the TV station's lotto ball girl to rig the state lottery drawing. The numbers come up right, but everything else goes wrong as the plan starts to unravel and the game turns rough."
Stardom,"Comedy ,Drama",2000,"jessicaparé ,danaykroyd ,charlesberling",denysarcand,6.4,5.0,1.641105,False,en,A young girl is plucked from small-town obscurity and thrust into the spotlight of the glamorous world of super-models.
Charlie's Angels,"Action ,Adventure ,Comedy ,Crime ,Thriller",2000,"camerondiaz ,lucyliu ,drewbarrymore",mcg,5.6,1253.0,9.774985000000001,False,en,"Aspects of this take on the 1970s hit TV series are similar to the original show :Angels Dylan, Natalie and Alex still work for Charlie and interface with Bosley. They still flip their hair, stop traffic with a smile and kick butt. The differences are the unsubtle humor, the martial arts training and the high-tech premise: This time, they're hot on the trail of stolen software."
The Legend of Bagger Vance,"Fantasy ,Drama",2000,"mattdamon ,brucemcgill ,charlizetheron",robertredford,6.4,259.0,9.034884,False,en,"World War I has left golfer Rannulph Junuh a poker-playing alcoholic, his perfect swing gone. Now, however, he needs to get it back to play in a tournament to save the financially ravaged golf course of a long-ago sweetheart. Help arrives in the form of mysterious caddy Bagger Vance."
Little Nicky,"Comedy ,Fantasy ,Romance",2000,"adamsandler ,patriciaarquette ,harveykeitel",stevenbrill,5.2,447.0,6.10979,False,en,"After the lord of darkness decides he will not cede his thrown to any of his three sons, the two most powerful of them escape to Earth to create a kingdom for themselves. This action closes the portal filtering sinful souls to Hell and causes Satan to wither away. He must send his most weak but beloved son, Little Nicky, to Earth to return his brothers to Hell."
Men of Honor,Drama,2000,"robertdeniro ,cubagoodingjr. ,charlizetheron","georgetillman,jr.",7.0,556.0,7.177649000000001,False,en,"Against formidable odds -- and an old-school diving instructor embittered by the U.S. Navy's new, less prejudicial policies -- Carl Brashear sets his sights on becoming the Navy's first African-American master diver in this uplifting true story. Their relationship starts out on the rocks, but fate ultimately conspires to bring the men together into a setting of mutual respect, triumph and honor."
Red Planet,"Thriller ,Action ,Science Fiction",2000,"valkilmer ,carrie-annemoss ,benjaminbratt",antonyhoffman,5.4,271.0,8.534175999999999,False,en,"Astronauts search for solutions to save a dying Earth by searching on Mars, only to have the mission go terribly awry."
You Can Count on Me,"Drama ,Romance",2000,"lauralinney ,markruffalo ,matthewbroderick",kennethlonergan,6.8,89.0,6.505313,False,en,"A single mother's life is thrown into turmoil after her struggling, rarely-seen younger brother returns to town."
Diamonds Are Forever,"Adventure ,Action ,Thriller",1971,"seanconnery ,jillst.john ,charlesgray",guyhamilton,6.3,562.0,12.00491,False,en,Diamonds are stolen only to be sold again in the international market. James Bond infiltrates a smuggling mission to find out who’s guilty. The mission takes him to Las Vegas where Bond meets his archenemy Blofeld.
The Eagle Has Landed,"Adventure ,Drama ,Action ,Thriller ,War",1976,"michaelcaine ,donaldsutherland ,robertduvall",johnsturges,6.4,77.0,10.982385,False,en,"When the Nazi high command learns in late 1943 that Winston Churchill will be spending time at a country estate in Norfolk, it hatches an audacious scheme to kidnap the prime minister and spirit him to Germany for enforced negotiations with Hitler."
The 6th Day,Science Fiction,2000,"arnoldschwarzenegger ,michaelrapaport ,tonygoldwyn",rogerspottiswoode,5.7,603.0,8.413110000000001,False,en,Futuristic action about a man who meets a clone of himself and stumbles into a grand conspiracy about clones taking over the world.
Bounce,"Drama ,Romance",2000,"benaffleck ,gwynethpaltrow ,joemorton",donroos,5.5,120.0,13.349518,False,en,A man switches plane tickets with another man who dies in that plane in a crash. The man falls in love with the deceased one's wife.
How the Grinch Stole Christmas,"Family ,Comedy ,Fantasy",2000,"jimcarrey ,taylormomsen ,jeffreytambor",ronhoward,6.2,1440.0,11.642462,False,en,"Inside a snowflake exists the magical land of Whoville. In Whoville, live the Whos, an almost mutated sort of Munchkin-like people. All the Whos love Christmas, yet just outside of their beloved Whoville lives the Grinch. The Grinch is a nasty creature that hates Christmas, and plots to steal it away from the Whos, whom he equally abhors. Yet a small child, Cindy Lou Who, decides to try befriending the Grinch."
One Day in September,Documentary,1999,"michaeldouglas ,ankiespitzer ,jamalalgashey",kevinmacdonald,7.3,14.0,1.039367,False,en,"The full story of the 1972 Munich Olympics Massacre and the Israeli revenge operation 'Wrath of God.' The 1972 Munich Olympics were interrupted by Palestinian terrorists taking Israeli athletes hostage. Besides footage taken at the time, we see interviews with the surviving terrorist, Jamal Al Gashey, and various officials detailing exactly how the police, lacking an anti-terrorist squad and turning down help from the Israelis, botched the operation"
Rugrats in Paris: The Movie,"Adventure ,Animation ,Comedy ,Family",2000,"e.g.daily ,susansarandon ,johnlithgow",stigbergqvist,6.0,101.0,5.568359,False,it,"The Rugrats are back! There's Tommy the brave one, Chuckie the timid one, Phil and Lil the odd couple, Dil, and spoiled brat Angelica. This time they're wreaking havoc in Paris, France, where Tommy's dad Stu is summoned after yet another one of his inventions took a dump."
102 Dalmatians,"Comedy ,Family",2000,"glennclose ,ioangruffudd ,aliceevans",kevinlima,5.1,327.0,7.6687520000000005,False,en,"Get ready for a howling good time as an all new assortment of irresistible animal heroes are unleashed in this great family tail! In an unlikely alliance, the outrageous Waddlesworth... a parrot who thinks he's a Rottweiler... teams up with Oddball... an un-marked Dalmation puppy eager to earn her spots! Together they embark on a laugh-packed quest to outwit the ever-scheming Cruella De Vil"
Malena,Drama,2000,"monicabellucci ,giuseppesulfaro ,lucianofederico",giuseppetornatore,6.9,301.0,9.490511999999999,False,it,"On the day in 1940 that Italy enters the war, two things happen to the 12-year-old Renato: he gets his first bike, and he gets his first look at Malèna. She is a beautiful, silent outsider who's moved to this Sicilian town to be with her husband, Nico. He promptly goes off to war, leaving her to the lustful eyes of the men and the sharp tongues of the women. During the next few years, as Renato grows toward manhood, he watches Malèna suffer and prove her mettle. He sees her loneliness, then grief when Nico is reported dead, the effects of slander on her relationship with her father, her poverty and search for work, and final humiliations. Will Renato learn courage from Malèna and stand up for her?"
Quills,Drama,2000,"geoffreyrush ,katewinslet ,joaquinphoenix",philipkaufman,6.8,129.0,5.387711,False,en,"A nobleman with a literary flair, the Marquis de Sade lives in a madhouse where a beautiful laundry maid smuggles his erotic stories to a printer, defying orders from the asylum's resident priest. The titillating passages whip all of France into a sexual frenzy, until a fiercely conservative doctor tries to put an end to the fun."
Unbreakable,"Science Fiction ,Thriller ,Drama",2000,"brucewillis ,samuell.jackson ,robinwright",m.nightshyamalan,6.9,1994.0,14.67855,False,en,"An ordinary man makes an extraordinary discovery when a train accident leaves his fellow passengers dead – and him unscathed. The answer to this mystery could lie with the mysterious Elijah Price, a man who suffers from a disease that renders his bones as fragile as glass."
"Crouching Tiger, Hidden Dragon","Adventure ,Drama ,Action ,Romance",2000,"chowyun-fat ,michelleyeoh ,zhangziyi",anglee,7.2,949.0,19.944952999999998,False,zh,"Two warriors in pursuit of a stolen sword and a notorious fugitive are led to an impetuous, physically-skilled, teenage nobleman's daughter, who is at a crossroads in her life."
Dungeons & Dragons,"Action ,Adventure ,Fantasy ,Science Fiction",2000,"justinwhalin ,jeremyirons ,thorabirch",courtneysolomon,3.9,159.0,4.884311,False,en,"The classic role-playing game comes to life in this magical adventure. The empire of Izmer is a divided land: Elite magicians called Mages rule while lowly commoners are powerless. When Empress Savina (Thora Birch) vows to bring equality and prosperity to her land, the evil Mage Profion (Jeremy Irons) plots to depose her. But this good-vs.-evil battle is no game!"
Proof of Life,"Action ,Adventure ,Drama ,Romance ,Thriller",2000,"megryan ,russellcrowe ,davidmorse",taylorhackford,6.1,211.0,9.508691,False,en,"Alice hires a professional negotiator to obtain the release of her engineer husband, who has been kidnapped by anti-government guerrillas in South America."
Vertical Limit,"Action ,Adventure ,Thriller",2000,"chriso'donnell ,robintunney ,billpaxton",martincampbell,5.9,287.0,6.548229,False,en,"Trapped near the summit of K2, the world's second-highest mountain, Annie Garrett radios to base camp for help. Brother Peter hears Annie's message and assembles a team to save her and her group before they succumb to K2's unforgiving elements. But, as Annie lays injured in an icy cavern, the rescuers face several terrifying events that could end the rescue attempt -- and their lives."
The Bounty,"Action ,Drama ,History",1984,"melgibson ,anthonyhopkins ,laurenceolivier",rogerdonaldson,6.5,109.0,7.492912,False,en,"The familiar story of Lieutenant Bligh, whose cruelty leads to a mutiny on his ship. This version follows both the efforts of Fletcher Christian to get his men beyond the reach of British retribution, and the epic voyage of Lieutenant Bligh to get his loyalists safely to East Timor in a tiny lifeboat."
Code of Silence,"Action ,Thriller ,Crime ,Drama",1985,"chucknorris ,mikegenovese ,henrysilva",andrewdavis,6.0,44.0,5.132151,False,en,A Chicago cop is caught in a middle of a gang war while his own comrades shun him because he wants to take an irresponsible cop down.
"Planes, Trains and Automobiles",Comedy,1987,"stevemartin ,johncandy ,lailarobins",johnhughes,7.1,567.0,9.420183,False,en,"A man must struggle to travel home for Thanksgiving, with an obnoxious slob of a shower ring salesman his only companion."
She's Having a Baby,"Comedy ,Drama ,Romance",1988,"kevinbacon ,elizabethmcgovern ,alecbaldwin",johnhughes,5.5,51.0,7.255375,False,en,"Jake and Kristy Briggs are newlyweds. Being young, they are perhaps a bit unprepared for the full reality of marriage and all that it (and their parents) expect from them. Do they want babies? Their parents certainly want them to. Is married life all that there is? Things certainly aren't helped by Jake's friend Davis, who always seems to turn up just in time to put a spanner in the works."
The Living Daylights,"Action ,Adventure ,Thriller",1987,"timothydalton ,maryamd'abo ,jeroenkrabbé",johnglen,6.2,447.0,12.189038,False,en,James Bond helps a Russian General escape into the west. He soon finds out that the KGB wants to kill him for helping the General. A little while later the General is kidnapped from the Secret Service leading 007 to be suspicious.
The Transformers: The Movie,Animation,1986,"juddnelson ,petercullen ,frankwelker",nelsonshin,7.1,134.0,6.759181,False,en,"The Autobots must stop a colossal planet-consuming robot who goes after the Autobot Matrix of Leadership. At the same time, they must defend themselves against an all-out attack from the Decepticons."
Wall Street,"Crime ,Drama",1987,"charliesheen ,michaeldouglas ,martinsheen",oliverstone,7.0,557.0,11.672701,False,en,"A young and impatient stockbroker is willing to do anything to get to the top, including trading on illegal inside information taken through a ruthless and greedy corporate raider whom takes the youth under his wing."
Born on the Fourth of July,"Drama ,War",1989,"tomcruise ,raymondj.barry ,carolinekava",oliverstone,6.7,403.0,13.617645999999999,False,en,"The biography of Ron Kovic. Paralyzed in the Vietnam war, he becomes an anti-war and pro-human rights political activist after feeling betrayed by the country he fought for."
Talk Radio,Drama,1988,"ericbogosian ,ellengreene ,lesliehope",oliverstone,6.7,46.0,6.865513000000001,False,en,"A rude, contemptuous talk show host becomes overwhelmed by the hatred that surrounds his program just before it goes national."
Brewster's Millions,Comedy,1985,"richardpryor ,johncandy ,lonettemckee",walterhill,6.5,144.0,6.526379,False,en,"Brewster, an aging minor-league baseball player, stands to inherit 300 million dollars if he can successfully spend 30 million dollars in 30 days without anything to show for it, and without telling anyone what he's up to... A task that's a lot harder than it sounds!"
Snatch,"Thriller ,Crime",2000,"beniciodeltoro ,dennisfarina ,vinniejones",guyritchie,7.7,2953.0,14.014025,False,en,"The second film from British director Guy Ritchie. Snatch tells an obscure story similar to his first fast-paced crazy character-colliding filled film “Lock, Stock and Two Smoking Barrels.” There are two overlapping stories here – one is the search for a stolen diamond, and the other about a boxing promoter who’s having trouble with a psychotic gangster."
Punchline,"Comedy ,Drama",1988,"sallyfield ,tomhanks ,johngoodman",davidseltzer,5.1,41.0,5.764399,False,en,"Lilah Krytsick is a mother and housewife who's always believed she could be a stand-up comedian. Steven Gold is an experienced stand-up seemingly on the cusp of success. When the two meet, they form an unlikely friendship, and Steven tries to help the untried Lilah develop her stage act. Despite the objections of her family and some very wobbly beginnings, Lilah improves, and soon she finds herself competing with Steven for a coveted television spot."
Chocolat,"Comedy ,Drama ,Romance",2000,"juliettebinoche ,alfredmolina ,johnnydepp",lassehallström,6.8,979.0,8.9256,False,en,"A fable of emotional liberation and chocolate. A mother and daughter move to a small French town where they open a chocolate shop. The town, religious and morally strict, is against them as they represent free-thinking and indulgence. When a group of Boat Gypsies float down the river the prejudices of the Mayor leads to a crisis."
"Dude, Where’s My Car?",Comedy,2000,"ashtonkutcher ,seannwilliamscott ,kristyswanson",dannyleiner,5.3,523.0,10.890236,False,en,"Jesse and Chester, two bumbling stoners, wake up one morning from a night of partying and cannot remember where they parked their car. They encounter a variety of people while looking for it, including their angry girlfriends, an angry street gang, a transexual stripper, a cult of alien seeking fanatics, and aliens in human form looking for a mystical device that could save or destroy the world."
The Emperor's New Groove,"Adventure ,Animation ,Comedy ,Family ,Fantasy",2000,"davidspade ,johngoodman ,earthakitt",markdindal,7.2,1544.0,12.297375,False,en,"Kuzco is a self-centered emperor who summons Pacha from a village and to tell him that his home will be destroyed to make room for Kuzco's new summer home. Kuzco's advisor, Yzma, tries to poison Kuzco and accidentally turns him into a llama, who accidentally ends up in Pacha's village. Pacha offers to help Kuzco if he doesn't destroy his house, and so they form an unlikely partnership."
Pollock,"Drama ,Romance",2000,"edharris ,marciagayharden ,tombower",edharris,6.6,91.0,11.179864,False,en,"In August of 1949, Life Magazine ran a banner headline that begged the question: ""Jackson Pollock: Is he the greatest living painter in the United States?"" The film is a look back into the life of an extraordinary man, a man who has fittingly been called ""an artist dedicated to concealment, a celebrity who nobody knew."" As he struggled with self-doubt, engaging in a lonely tug-of-war between needing to express himself and wanting to shut the world out, Pollock began a downward spiral."
What Women Want,"Comedy ,Romance",2000,"helenhunt ,melgibson ,marisatomei",nancymeyers,6.1,1021.0,9.963078999999999,False,en,"Advertising executive Nick Marshall is as cocky as they come, but what happens to a chauvinistic guy when he can suddenly hear what women are thinking? Nick gets passed over for a promotion, but after an accident enables him to hear women's thoughts, he puts his newfound talent to work against Darcy, his new boss, who seems to be infatuated with him."
Finding Forrester,Drama,2000,"seanconnery ,robbrown ,f.murrayabraham",gusvansant,7.0,305.0,10.536255,False,en,Gus van Sant tells the story of a young African American man named Jamal who confronts his talents while living on the streets of the Bronx. He accidentally runs into an old writer named Forrester who discovers his passion for writing. With help from his new mentor Jamal receives a scholarship to a private school.
The Gift,"Horror ,Drama ,Thriller ,Mystery",2000,"cateblanchett ,giovanniribisi ,keanureeves",samraimi,6.4,288.0,7.886926,False,en,"When a local woman disappears and the police can't seem to find any leads, her father turns to a poor young woman with psychic powers. Slowly she starts having visions of the woman chained and in a pond. Her visions lead to the body and the arrest of an abusive husband, but did he really do it?"
Before Night Falls,Drama,2000,"javierbardem ,oliviermartinez ,johnnydepp",julianschnabel,6.6,65.0,3.933132,False,en,"Spanning several decades, this powerful biopic offers a glimpse into the life of famed Cuban poet and novelist Reinaldo Arenas, an artist who was vilified for his homosexuality in Fidel Castro's Cuba."
